_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
4c8008ba-bd6a-4854-bfa6-dda1299ed2ba,GAC001,Adaptação curricular,1,15,53-CIÊNCIAS BIOLÓGICAS - REALEZA - 2013/1,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Sim,Sim,2020-01-21
5f77c041-12d4-4a0f-a2e5-b3a979d63b11,GAC002,Adaptação curricular,2,30,52-FÍSICA - REALEZA - 2013/1,0,Não,Sim,Realeza,3101,1152572,FÍSICA,NOTURNO,Não,Sim,2020-01-21
7f777a35-d4f1-4996-87a4-b7d2599ad676,GAC008,Adaptação curricular,4,60,71-MEDICINA - CHAPECÓ - 2015/2,0,Não,Sim,Chapecó,1411,1193759,MEDICINA,INTEGRAL,Sim,Sim,2020-01-21
6f6390fd-61c1-4af3-8422-7fb364fc4809,GCA001,Introdução à engenharia de alimentos,3,45,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,1,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
4e35d673-39e3-4a94-95af-fad45314ead4,GCA001,Introdução à engenharia de alimentos,3,45,75-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2016/1,1,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Sim,Sim,2020-01-21
a30ec0ab-5214-445c-aef2-3214ce31e940,GCA002,Introdução à agronomia,2,30,77-AGRONOMIA - CERRO LARGO - 2017/1,1,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
90c97904-84f1-4384-a648-71fccf010887,GCA002,Introdução à agronomia,2,30,5-AGRONOMIA - CHAPECÓ - 2010/2,1,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
b53f00bc-d670-4366-8c66-8751727ccda2,GCA002,Introdução à agronomia,2,30,32-AGRONOMIA - CERRO LARGO - 2010/1,1,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
57c8db3f-7098-41f9-8e18-af855c8fc307,GCA003,Aquicultura geral I,2,30,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,1,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
c31e4efe-eab9-41c8-862a-a4fa16d21f89,GCA003,Aquicultura geral I,2,30,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017/1,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
6fe54802-8bd3-466a-bd3c-7678f0ed3f7e,GCA004,Aquicultura geral II,2,30,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017/1,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
e22efc1b-8dd2-4673-8404-54d718daa11a,GCA004,Aquicultura geral II,2,30,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,2,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
4dc2ebd4-3d7e-40c8-a0ce-72b570dc1159,GCA005,Agroecossistemas I,2,30,23-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - LARANJEIRAS DO SUL - 2010/1,3,Sim,Não,Laranjeiras do Sul,2521,5000387,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2020-01-21
0f2a61ba-01b9-421f-a4f1-dc4eb1722ffe,GCA005,Agroecossistemas I,2,30,47-ADMINISTRAÇÃO - CERRO LARGO - 2012,0,Não,Sim,Cerro Largo,4601,5000386,ADMINISTRAÇÃO,MATUTINO,Não,Sim,2020-01-21
05663527-f434-4e83-8cb0-1f3980360d2f,GCA005,Agroecossistemas I,2,30,33-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - CERRO LARGO - 2010/1,2,Sim,Não,Cerro Largo,4520,5000386,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2020-01-21
587c2f06-a707-4b7b-b702-f70d5cf347ba,GCA005,Agroecossistemas I,2,30,46-CIÊNCIAS ECONÔMICAS - LARANJEIRAS DO SUL - 2012/1,0,Não,Sim,Laranjeiras do Sul,2601,5000387,CIÊNCIAS ECONÔMICAS,NOTURNO,Não,Sim,2020-01-21
8d50f8bf-96fe-409b-969f-8421fc6e4864,GCA006,Introdução à medicina veterinária,2,30,28-MEDICINA VETERINÁRIA - REALEZA - 2010/1,1,Sim,Não,Realeza,3530,5000409,MEDICINA VETERINÁRIA,INTEGRAL,Sim,Sim,2020-01-21
7daad74b-8c4c-45bc-ab5e-9ac64ffd30de,GCA007,Introdução à produção animal,2,30,28-MEDICINA VETERINÁRIA - REALEZA - 2010/1,2,Sim,Não,Realeza,3530,5000409,MEDICINA VETERINÁRIA,INTEGRAL,Sim,Sim,2020-01-21
e6f6893e-9906-4f52-bfba-043a19e81f5e,GCA010,Agroecossistemas II,4,60,23-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - LARANJEIRAS DO SUL - 2010/1,3,Sim,Não,Laranjeiras do Sul,2521,5000387,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2020-01-21
148fa500-5972-4573-a36a-23b6f526273c,GCA547,Avicultura,3,45,68-AGRONOMIA - ERECHIM - 2014/1,7,Sim,Não,Erechim,5524,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
5119818e-b4e0-44e7-8c92-38b6d7fb2486,GCA010,Agroecossistemas II,4,60,33-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - CERRO LARGO - 2010/1,3,Sim,Não,Cerro Largo,4520,5000386,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2020-01-21
