_id,nome_campus,cod_uffs,cod_emec,nome_curso,turno,modalidade,regime,desc_matriz,ano,semestre,permite_ingresso,em_andamento,ch_obrigatoria,ch_optativa,ch_eletiva,ch_accs,ch_total,ch_max_sem,ch_min_sem,ch_1a_fase,quant_semestres,limite_semestres,linha_formacao,data_atualizacao
147603d2-a503-4ea9-9fe6-b4bb13ff4875,Cerro Largo,4110,5000393,"CIÊNCIAS: BIOLOGIA, FÍSICA E QUÍMICA",NOTURNO,Graduação - Licenciatura,Semestral,"30-CIÊNCIAS: BIOLOGIA, FÍSICA E QUÍMICA - CERRO LARGO - 2010/1",2010,1,Não,Não,4380,180,0,210,4770,450,60,300,9,18,,2020-01-21
3a8eded9-a1af-494d-9e88-e5b5525f73fc,Chapecó,1600,5000376,ADMINISTRAÇÃO,MATUTINO,Graduação - Bacharelado,Semestral,78-ADMINISTRAÇÃO - CHAPECÓ - 2017/1,2017,1,Sim,Sim,2730,90,0,180,3000,420,180,300,9,18,Pequenos Empreendimentos e Cooperativismo,2020-01-21
cf80462e-899b-4bc1-975e-b6146d35cdeb,Chapecó,1600,5000376,ADMINISTRAÇÃO,MATUTINO,Graduação - Bacharelado,Semestral,6-ADMINISTRAÇÃO - CHAPECÓ - 2010/1,2010,1,Não,Sim,2940,150,0,180,3270,420,180,360,9,18,Pequenos Empreendimentos e Cooperativismo,2020-01-21
04365c7d-3626-4090-b145-c60deb01360a,Laranjeiras do Sul,2714,1503886,CIÊNCIAS SOCIAIS,NOTURNO,Graduação - Bacharelado,Semestral,102-CIÊNCIAS SOCIAIS - BAC - LARANJEIRAS DO SUL - 2020/1,2020,1,Sim,Sim,2340,180,0,210,2730,360,180,300,8,16,,2020-01-21
264779c8-269b-4a03-b2aa-451937c635c2,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Graduação - Licenciatura,Semestral,85-FILOSOFIA - CHAPECÓ - 2018/1,2018,1,Sim,Sim,2805,420,0,210,3435,600,120,360,9,18,,2020-01-21
eaa7dfde-bcf5-4665-9a68-efc64b514e70,Chapecó,1701,5000396,FILOSOFIA,NOTURNO,Graduação - Licenciatura,Semestral,9-FILOSOFIA - CHAPECÓ - 2010/2,2010,1,Não,Sim,2685,180,0,210,3075,600,30,300,9,18,,2020-01-21
1998e8eb-41ef-450e-bd17-396711320d19,Laranjeiras do Sul,2713,1503885,CIÊNCIAS SOCIAIS,NOTURNO,Graduação - Licenciatura,Semestral,101-CIÊNCIAS SOCIAIS - LIC - LARANJEIRAS DO SUL - 2020/1,2020,1,Sim,Sim,2760,240,0,210,3210,420,180,300,9,18,,2020-01-21
16ed5665-95de-4070-9c47-476e46ff2d9d,Erechim,5713,1504208,GEOGRAFIA,NOTURNO,Graduação - Bacharelado,Semestral,103-GEOGRAFIA - ERECHIM - 2020/1,2020,1,Sim,Sim,2415,180,0,210,2805,480,120,300,8,16,,2020-01-21
fc34b668-61bf-464a-b6c3-0b7ee397b7d7,Chapecó,1700,5000396,FILOSOFIA,MATUTINO,Graduação - Licenciatura,Semestral,8-FILOSOFIA - CHAPECÓ - 2010/1,2010,1,Não,Sim,2685,180,0,210,3075,600,30,300,8,16,,2020-01-21
3dfba3b6-1ad5-4ef9-a91c-0c045a5e0525,Laranjeiras do Sul,2601,5000387,CIÊNCIAS ECONÔMICAS,NOTURNO,Graduação - Bacharelado,Semestral,46-CIÊNCIAS ECONÔMICAS - LARANJEIRAS DO SUL - 2012/1,2012,1,Não,Sim,3120,180,0,120,3420,480,180,300,9,18,Desenvolvimento e Cooperativismo,2020-01-21
