_id,processo_seletivo,nome_curso,semestre_oferta,ano_oferta,data_inicio_matriculas,data_fim_matriculas,vagas,data_atualizacao
dc8d9bc7-bea0-457d-b7e0-103d249309e6,EDITAL Nº 105/GR/UFFS/2019 - CONVOCAÇÃO DE SUPLENTE PARA MATRÍCULA NO PROCESSO SELETIVO DE CANDIDATOS ÀS VAGAS PARA O CURSO DE MESTRADO DO PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E TECNOLOGIA AMBIENTAL - PPGCTA,Mestrado em Ciência e Tecnologia Ambiental,1,2019,2019-02-13,2019-02-14,20,2019-08-26
0bfe3a18-5c25-48e1-bf4f-b0417fa6d402,"EDITAL Nº 08, DE 30 DE JULHO DE 2016 - Comissão Acadêmica Nacional do PROFMAT",Mestrado Profissional em Matemática,1,2017,2016-11-17,2017-01-20,20,2019-08-26
a3d611be-6c5a-4549-a095-75321fb02adc,EDITAL Nº 094/UFFS/2016 PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA,Residência Médica em Nefrologia - Hospital São Vicente de Paulo,1,2016,2016-03-02,2016-03-03,2,2019-08-26
bd03720d-8e0f-4c08-9924-6d2f606dd02d,EDITAL Nº 748/UFFS/2015 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA/2016,Residência Médica em Medicina Intensiva Pediátrica - Hospital São Vicente de Paulo,1,2016,2016-02-01,2016-02-05,2,2019-08-26
0b5cbe81-c6b2-48aa-87bc-8a8e4f7b7208,Edital de Concurso de Seleção à Residência Médica - 2014 para o Hospital da Cidade de Passo Fundo. Publicado pela COREME em 26 de agosto de 2013.,Residência Médica em Oncologia Clínica - Hospital da Cidade de Passo Fundo,1,2014,2015-02-23,2015-07-31,1,2019-08-26
02395fd0-0cb7-44aa-9046-d6fc9e1de13b,Processo Seletivo 2014 Hospital da Cidade de Passo Fundo. Publicado pela COREME em 08 de fevereiro de 2014,Residência Médica em Cirurgia Geral - Hospital da Cidade de Passo Fundo,1,2014,2015-02-23,2015-07-31,3,2019-08-26
08a40fe2-51b6-4687-b35e-b098e3c1b340,EDITAL N. 002/2015 - ESPECIAL - HRO,Residência Médica em Clínica Médica - Hospital Regional do Oeste,1,2015,,,2,2019-08-26
887afe00-28ae-478a-84e9-9b79912ff7ed,PROCESSO SELETIVO PARA MÉDICO RESIDENTE EDITAL Nº RM 01/2015 PARA INGRESSO EM 2016,Residência Médica em Pediatria - Hospital Regional do Oeste,1,2016,,,3,2019-08-26
7c28de62-1e81-4584-b338-07546ab611b8,Edital Nº 161/UFFS/2015 - Processo seletivo para ingresso no Programa de Residência Médica,Residência Médica em Obstetrícia e Ginecologia - Hospital São Vicente de Paulo,1,2015,2015-03-27,2015-03-31,3,2019-08-26
33bde75f-a5fc-4d64-b54d-0efaedab88fc,EDITAL Nº 797/UFFS/2016 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA 2017 – PASSO FUNDO,Residência Médica em Geriatria - Hospital São Vicente de Paulo,1,2017,2017-03-01,2017-03-03,2,2019-08-26
dc399236-3c20-4d3e-a052-0d877ebadf93,EDITAL Nº 174/UFFS/2017 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA/2017,Residência Médica em Clínica Médica - Hospital de Caridade de Carazinho,1,2017,2017-03-30,2017-03-30,2,2019-08-26
a18812f9-0551-4cb8-8dc7-972f463481a4,EDITAL Nº 174/UFFS/2017 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA/2017,Residência Médica em Cancerologia Pediátrica - Hospital São Vicente de Paulo,1,2017,2017-03-30,2017-03-30,1,2019-08-26
7fcc9134-ba02-48fc-9c24-0c0da4ed2fd5,Edital nº 114/UFFS/2012 - Processo Seletivo de Candidatos a vagas para curso de Mestrado do Programa de Pós-Graduação em Estudos Linguísticos - PPGEL,Mestrado em Estudos Linguísticos,2,2012,,,20,2019-08-26
3cd8e445-d5ba-4e4b-81bc-efb68d3935ba,Edital nº 234/UFFS/2012 - Processo Seletivo para candidatos a vagas para curso de Mestrado do Programa de Pós-Graduação em Estudos Linguísticos - PPGEL,Mestrado em Estudos Linguísticos,1,2013,,,20,2019-08-26
303472c9-18b3-4664-9e3a-f0be9a9c2a8f,Edital nº 015/UFFS/2013 - Admissão de alunos em disciplina isolada no curso de Mestrado em Estudos Linguísticos,Mestrado em Estudos Linguísticos,1,2013,,,5,2019-08-26
