_id,projeto_registro,projeto_titulo,coordenador,nome_campus,desc_area_cnpq,palavras_chave,resumo,modalidade,grupos_pesquisa,projeto_pai_registro,data_atualizacao
8205b9f1-59a8-4c75-852a-ea28c79c5166,PES-2019-0639,Validação de planilha eletrônica para manejo da lâmina de irrigação na cultura da soja,HUGO VON LINSINGEN PIAZZETTA,Erechim,CIÊNCIAS AGRÁRIAS,Agrometeorologia; controle de irrigação; manejo da irrigação; soja irrigada; umidade do solo,"A utilização da água para irrigação é um assunto muito discutidos entre os estudiosos da área e membros da sociedade, considerada uma prática que consome grandes quantidades de água todos os anos durante a safra, podendo ela trazer prejuízos ao meio ambiente e aos seus ecossistemas, principalmente quando o manejo é feito de maneira incorreta. Desta forma, a busca por formas de manejo e sistemas de irrigação mais eficientes no que tange a utilização da água, assume fundamental importância, uma vez que se busca a mitigação de fatores que levam a redução da disponibilidade dos recursos naturais. Manejar a água de irrigação é um processo extremamente complexo uma vez que envolve conhecimentos do solo, da planta e do meio ambiente onde a cultura está instalada. Desta forma, muitas vezes o agricultor irrigante, desprovido de informações e de assistência técnica acessível a sua realidade, faz um uso excessivo dos recursos hídricos causando uma série de problemas agronômicos e ambientas. Sendo assim, o objetivo deste trabalho é validar o uso da planilha eletrônica “Lâmina” para manejo da irrigação na cultura da soja. Para isso será desenvolvido um experimento em estufa no campus da UFFS/Erechim comparando as seguintes formas de manejo da irrigação: (1) não utilização de irrigação; (2) manutenção da umidade do solo equivalente em 100% da umidade da capacidade de recipiente; (3) manutenção da umidade do solo equivalente capacidade real de água no solo correspondente a 50% da capacidade total de água do solo; (4) Ajuste da lâmina de irrigação conforme valor fornecido pela planilha “Lâmina”, desenvolvida pela equipe do projeto. O delineamento experimental utilizado será inteiramente casualizado, com quatro repetições. Cada parcela será um vaso de 50 litros, contendo uma planta da cultura. Na ocasião da maturação fisiológica, será determinada a biomassa seca da parte aérea da planta. Após a colheita, serão avaliados os componentes de produtividade: número de vagens, o número médio de lóculos por vagem, comprimento da vagem, espessura da vagem, número de grãos por vagem, e peso de 1000 grãos, além da umidade dos grãos e produtividade. Os resultados obtidos nestas variáveis deverão ser relacionados ao volume total de água aplicado em cada tratamento. Também, será realizada análise de variância e o teste de comparação de médias de Tukey a 5% de probabilidade de erro, quando necessário.",Subprojeto,Manejo Sustentável dos Sistemas Agrícolas - MASSA,PES-2018-0071,2019-10-11
9a555aec-c358-4405-a4aa-27cfac52d2de,PES-2018-0119,Filosofias e Educação,ILTON BENONI DA SILVA,Erechim,CIÊNCIAS HUMANAS,Conhecimento; Educação; Filosofia; Formação de Professores; Pedagogia,"O projeto investiga as relações entre concepções filosóficas e pedagógico-educacionais presentes em projetos, programas e políticas no campo da educação, com especial atenção aos projetos de formação docente. Interessa interrogar sobre as concepções filosóficas (epistemológicas, ontológicas e práticas) que baseiam as explicitações teórico-metodológicos de projetos de cursos de formação de professores.
Trata-se de estudos críticos, que tomam como base de suas análises esquematizações de conceitos e categorias/síntese do pensamento filosófico, de expoentes desse campo do conhecimento, para subsidiar a análise de discursos explicitadores de concepções pedagógicas e educacionais, presentes em programas e projetos do campo da educação. O que se pretende é identificar as concepções filosóficas predominantes nos referidos discursos pedagógicos, bem como, extrair dos discursos filosóficos suas possíveis consequências pedagógicas.
O Projeto dá prosseguimento a uma trajetória de pesquisa que já produziu resultados. Tal trajetória efetivou-se, num primeiro momento, realizando análises de discursos epistemológicos contemporâneos, com o objetivo de extrair possíveis consequências dos mesmos para os debates pedagógico-educacionais, particularmente, no que se refere à educação superior universitária. E, num segundo momento, efetivando análises das bases epistemológicas de projetos pedagógicos. Nessa nova etapa, o que se pretende é realizar os dois movimentos, tanto extrair consequências para os temas e problemas educacionais de discursos filosóficos, quanto identificar a predominância de discursos e posições filosóficas em projetos efetivos do campo da educação. Amplifica-se, também, a abrangência de interesse sobre os discursos filosóficos, ao se correlacionar os matizes epistemológicos desses discursos com outros matizes de cunho ontológico e práticos (pedagógico, político, ético, etc...).",Guarda-chuva: Projeto Interno,Teoria do Conhecimento e Educação,,2019-10-11
2e7cc544-25e6-41c7-b84b-ffa5db938c51,PES-2018-0022,Uso de peixes como bioindicadores da qualidade ambiental na Bacia do Médio Rio Uruguai.,SUZYMEIRE BARONI,Cerro Largo,CIÊNCIAS BIOLÓGICAS,defensivos agrícolas; genotoxicidade; histologia; micronúcleos; toxicidade,"Quando peixes e outros organismos são expostos a ambientes degradados os efeitos podem ser devastadores. Longos períodos de exposição a xenobióticos podem resultar em prejuízo ao longo do tempo, bem como possível estabelecimento de mutações que se fixam na população. A Bacia do Médio Uruguai compreende rios de importância econômica em função das atividades agroindustriais desenvolvidas e pelo seu potencial hidrelétrico, tais como Rio Turvo, Rio Ijui, Rio Comandaí, Rio Icamacuã, além dos lagos formados pelas hidrelétricas. Apesar desses rios contribuirem para o desenvolvimento econômico da região, as atividades realizadas nesta bacia hidrográfica acabam agravando a contaminação das suas águas. A região noroeste do Rio Grande do Sul possui uma área agrícola importante onde há uso constante de defensivos para as mais diversas lavouras. A Universidade Federal Fronteira Sul - Campus Cerro Largo, está inserida dentro desse contexto e isso implica em ações constantes de monitoramento quanto ao impacto desses defensivos na vida dos organismos dentro desses ecossistemas, desde o homem, animais de grande e pequeno porte, insetos, microrganismos e plantas não-alvo dos defensivos. O teste de micronúcleo (MN) e alterações nucleares, decorrentes de mitoses alteradas por fatores externos, tem sido um protocolo já utilizado com segurança para determinar danos genotóxicos em eucariotos, além de avaliação histopatológica em tecido hepático e brânquias de peixes. O  trabalho propõe avaliar a presença de efeitos genotóxicos através do teste de MN e alterações citológicas em eritrócitos de peixes e análise histológica de fígado e brânquias de peixes presentes na Bacia do Médio Rio Uruguai. O projeto também será composto por ensaios de laboratório para avaliar danos genotóxicos de xenobióticos em peixes submetidos a tratamento agudo e crônico. O projeto terá duração de cinco anos e será composto por sub-projetos de Iniciação Científica e Dissertação de Mestrado. Antes do início das análises o mesmo será submetido ao CEUA/UFFS para validação. Os rios e pontos de coletas serão previamente estabelecidos obedecendo os objetivos de cada trabalho. Os sub-projetos serão determinados pelo estudo prévio de viabilização e logística ao longo dos 5 anos. O teste de MN obedecerá protocolo proposto por Schmid (1975). A análise dos cortes histológicos serão analisados qualitativamente obedecendo variáveis já descritas na literatura. Os resultados serão analisados em teste estatístico Kruskal–Wallis (H)  com nível de confiança de 0,05%, e as lâminas fotografadas em câmeras de captura de imagem para análise qualitativa.",Guarda-chuva: Projeto Interno,Biociencias,,2019-10-11
b2221407-bc51-4806-b219-1d4a20a53ee7,PES-2018-0357,Estudo farmacológico da atividade antiinflamatória e antiespasmódica do diterpeno marubiina em modelos experimentais pré-clínicos in vivo e in vitro,VALFREDO SCHLEMPER,Realeza,CIÊNCIAS AGRÁRIAS,BAL; edema de pata; espasmolítico; Inflamação; marrubiina,"Este projeto visa investigar os efeitos farmacológicos da furanolactona diterpênica marrubiína, composto majoritário da planta medicinal Marrubium vulgare, que é utilizada na terapêutica popular para combater doenças de origem respiratória e digestiva. Nesse projeto objetivamos avaliar possíveis efeitos antiinflamatórios e antiespasmódicos da marrubiína, com ênfase nas vias aéreas em modelos animais de inflamação. Essas ações farmacológicas já foram anteriormente validadas em protocolos experimentais utilizando-se o extrato hidroalcoólico e frações semi-purificadas da M. Vulgare. Serão utilizadas técnicas in vivo, através da técnica do edema de pata e do lavado bronco-alveolar (BAL) de camundongos, que permitem investigar os níveis de migração celular para as vias aéreas e permite a observação de um possível efeito antiedematogênico, bem como também através de experimentos in vitro, através do estudo da reatividade de músculo liso isolado do íleo e das vias aéreas de cobaias, que permitirão identificar e isolar um princípio ativo com potencialidade terapêutica para o tratamento de patologias inflamatórias das vias aéreas. ",Guarda-chuva: Projeto Interno,Sanidade Animal - Sanimal,,2019-10-11
7241bbc2-5db7-437a-96ab-0bc44c192ceb,PES-2018-0381, Investigação do processo de produção e análise da lecitina de soja orgânica e sua aplicação em formulações de alimentos.,GISELE LOURO PERES,Realeza,CIÊNCIAS EXATAS E DA TERRA,alimentos orgânicos; lecitina; otimização,"No sentido de contemplar os grandes eixos da universidade, ensino, pesquisa e extensão, o presente projeto procura articular aspectos concernentes a área de Físico-Química com outras áreas do conhecimento como Nutrição, Produtos naturais e Química ambiental. Neste, será realizado um estudo sobre a produção de lecitina de soja orgânica, explorando as possibilidades de processamento da mesma, bem como sua aplicação em formulações. O objetivo é a redução do impacto ambiental na produção da lecitina, sua caracterização para melhor aplicação, tanto em alimentos, quanto para outras finalidades como a farmacêutica. As atividades de pesquisa serão realizadas nos laboratórios da UFFS e das Universidades parceiras (UNICENTRO e UEPG). O projeto também prevê a realização de oficinas sobre a produção de soja orgânica nas escolas e comunidades da região com o intuito de sensibilizar agricultores, comunidade e estudantes sobre a importância e o potencial da produção e do consumo de alimentos dos orgânicos, visando a busca pela segurança alimentar, saúde e bem-estar. Serão realizadas também, caracterizações físico-químicas, análises espectroscópicas e sensoriais dos processos estudados e dos produtos desenvolvidos. A principal matéria-prima orgânica a ser estudada é a lecitina de soja orgânica e seus sub-produtos de processamento, fornecidos por uma empresa da região, parceira no projeto. O desenvolvimento contará com a participação de estudantes de diferentes cursos da UFFS, campus Realeza, bem como de docentes e técnicos da área de química e nutrição. Também é parte deste projeto, a realização de estudo para a formulação de alimentos a base de lecitina de soja e subprodutos da fabricação da mesma.",Guarda-chuva: Projeto Interno,Grupo de Pesquisa em Química Tecnológica e Ambiental,,2019-10-11
04a362c0-3eb9-4929-ae69-b2abf0229377,PES-2019-0661,Bem-estar em animais com diferentes níveis de dependência e de restrição de locomoção: avaliação por uma metodologia multiparamétrica,DALILA MOTER BENVEGNU,Realeza,CIÊNCIAS AGRÁRIAS,Algesia; Cinco Liberdades; Clínica Veterinária Preventiva; Medicina Veterinária Integrativa; Sanidade Animal,"Os cuidados diagnósticos e clínicos com cães vem ganhando grande notoriedade na atualidade
devido a aproximação afetiva do ser humano com estes. Por parte de Médicos Veterinários
essa preocupação vai além: monitorar e preservar a saúde dos animais é prevenir afecções
também nos seres humanos uma vez que estes estão suscetíveis a vários agentes de potencial
zoonótico cotidianamente. Felizmente, o desenvolvimento científico e tecnológico vêm
viabilizando metodologias de verificação de diversos parâmetros que, quando analisados
conjuntamente, podem servir como indicativos de qualidade de vida animal. No presente
estudo pretende-se avaliar a qualidade do manejo dos animais por parte dos tutores através de
questionários, o comportamento dos cães através de observação passiva, o bem-estar animal
através da avaliação das cinco liberdades, além da saúde geral através de anamnese, exames
físicos, sinais vitais, busca de parasitas, avaliações laboratoriais, de urina e sanguíneas, como
hematológicas, bioquímicas e de estresse oxidativo, avaliação de dor, tempo e evolução de
cicatrização. Com a avaliação conjunta desses parâmetros, será possível identificar se há
correlação manejo-dependente com o bem-estar dos cães, o que possibilitará discutir quais as
melhores formas de zelar por estes durante os anos que eles acompanham a vida dos tutores, e consequentemente, formas de diminuir a incidência da ocorrência de doenças
infectocontagiosas que podem também, influenciar negativamente na saúde das pessoas.",Subprojeto,Sanidade Animal - Sanimal,PES-2018-0393,2019-10-11
f82b47ed-a729-4ac4-8da4-277856988f52,PES-2019-0529,VIABILIDADE DO SÊMEN CRIOPRESERVADO EM DIFERENTES MEIOS E SUBSTÃNCIAS ADITIVAS,ADALGIZA PINTO NETO,Realeza,CIÊNCIAS AGRÁRIAS,antioxidantes; espermatozóides; fertilização; viabilidade espermática,"A criopreservação de sêmen é uma tecnologia de grande impacto na reprodução animal, tanto em espécies de interesse produtivo, visando retorno econômico, quanto de espécies exóticas e/ou selvagens, visando preservação da espécie. Essa biotecnologia vem se destacando diante das vantagens que apresenta, sendo uma importante ferramenta para o melhoramento genético de espécies animais, permitindo facilmente a comercialização e transporte do sêmen, controle de doenças sexualmente transmissíveis e, principalmente, o expressivo ganho genético. Diferentes meios e aditivos são utilizados na criopreservação do sêmen das diferentes espécies, buscando conferir maior crioresistência aos espermatozoides durante o processo de congelação/descongelação. Apesar de inúmeras pesquisas, o processo de criopreservação do sêmen compromete, aproximadamente 50% das células espermáticas, que se tornam inviáveis para a fertilização. Apesar dos grandes avanços obtidos desde a descoberta do glicerol, justifica-se a realização de estudos sobre crioprotetores, e demais aditivos, como substãncias antioxidantes, a fim de melhorar a viabilidade espermática após o processo de congelação/descongelação do sêmen de todas as espécies domésticas. O melhor desempenho do sêmen criopreservado levaria ao aumento do rendimento de doses por ejaculado e incremento nas taxas de gestação. Até o momento não existe um protocolo definido sobre a melhor substância, e/ou suas concentrações, que ao ser adicionada ao meio de congelação levasse ao melhor desempenho in vitro e/ou in vivo da célula espermática. Dessa forma, objetiva-se com esse projeto desenvolver estudos sobre a utilização de substâncias que ao serem adicionadas ao sêmen dos animais domésticos melhorem a viabilidade da célula espermática, reduzam os danos do processo de congelação/descongelação, e incrementem a taxa de gestação. Para tanto, animais domésticos (como cães, bovinos, pequenos ruminantes, suínos e/ou equinos), hígidos, de propriedades rurais do entorno de Realeza serão submetidos a avaliação andrológica e coleta de sêmen (CBRA, 2013), no Laboratório de Reprodução Animal, do SUHVU, Campus Realeza-UFFS. O sêmen coletado será avaliado, submetido a diferentes métodos e meios de congelação, criopreservado e armazenado em botijão de nitrogênio líquido, e quando descongelado submetido a avaliação in vitro (características espermáticas e/ou taxa de fertilização in vitro) e/ou in vivo (taxa de gestação). Desse modo, espera-se melhorar a viabilidade do sêmen criopreservado dos animais domésticos; contribuir para o aumento do potencial reprodutivo das fêmeas das espécies estudadas e contribuir para o incremento da produção animal, com a utilização do sêmen cripreservado de espécies produtivas.",Guarda-chuva: Projeto Interno,"Saúde, Produção e Reprodução Animal - GPqPRA",,2019-10-11
9b0012d7-92a1-497a-902d-72f87130d038,PES-2018-0585,Síntese de 2-organocalcogenil-indóis via reações de ciclização de 2-etinil-calcogenil-anilinas catalisadas por sais de cobre,BENHUR DE GODOI,Cerro Largo,CIÊNCIAS EXATAS E DA TERRA,Anilinas; Catálise; Cobre; Indóis; Organocalcogênios,"A presente proposta de pesquisa baseia-se no estudo para o desenvolvimento de uma nova metodologia sintética, utilizando um sistema catalítico baseado em sais de cobre, para promover a preparação de 2-organocalcogenil-indóis, através de um processo de ciclização intramolecular de 2-etinilcalcogenil-anilinas. Inicialmente, os esforços estarão focados na determinação dos melhores parâmetros de reação para a obtenção dos 2-organocalcogenil-indóis desejados. Em um segundo momento, com as condições ideias de reação estabelecidas, almeja-se estudar a generalidade da metodologia sintética desenvolvida, aplicando este sistema catalítico para a síntese de uma série de indóis contendo átomos de selênio, telúrio ou enxofre na posição C-2 do núcleo heterocíclico, os quais são estruturalmente promissores quanto a possíveis atividades farmacológicas e aplicabilidades tecnológicas.",Subprojeto,"Núcleo de Síntese, Aplicação e Análise de Compostos Orgânicos e Inorgânicos - NUSAACOI",PES-2018-0067,2019-10-11
2e898ede-8b15-4a82-962d-495c0bd25165,PES-2019-0136,UTILIZAÇÃO DE MODELOS MATEMÁTICOS PARA ESTIMAR INTERFERÊNCIA E DETERMINAR NÍVEL DE DANO ECONÔMICO DE PLANTAS DANINHAS INFESTANTES DO FEIJÃO,LEANDRO GALON,Erechim,CIÊNCIAS AGRÁRIAS,Conyza bonariensis; Manejo integrado de plantas daninha; Phaseolus vulgaris,"Dentre os fatores que afetam a produtividade do feijão destaca-se a interferência causada pelas plantas daninhas, onde estas se não controladas afetam quantiqualitativamente o produto colhido. Por esse motivo, busca-se efetuar estudos que minimizem as perdas ocasionadas pela interferência das plantas daninhas. Objetiva-se com o projeto avaliar a interferência e o nível de dano econômico de plantas daninhas em competição com o feijão do tipo carioca, estimados em função de cultivares e populações do competidor. O experimento será instalado a campo na área experimental da Universidade Federal da Fronteira Sul (UFFS), Câmpus Erechim/RS, na safra 2018/19, em delineamento de blocos casualizados, arranjado em esquema fatorial 6 x 8, com quatro repetições. O fator A será composto por cultivares de feijão do tipo carioca: BRS Estilo, BRSMG Madrepérola, BRS FC402, IPR Campos Gerais, IPR Juriti e Pérola e o B por populações de buva (Conyza bonariensis): 0, 5, 10, 25, 50, 100, 200 e 400 plantas m-2. As variáveis avaliadas tanto da cultura quanto da planta daninha aos 30 dias após a emergência (DAE) serão: população de plantas (PP), massa seca da parte aérea (MS), área foliar (AF) e cobertura do solo (CS). Aos 60 DAE serão avaliadas as variáveis relacionadas à fisiologia das plantas da cultura e da buva, tais como: teor de clorofila com clorofilômetro portátil - SPAD e com um analisador de gases no infravermelho – IRGA, a taxa fotossintética (μmol m-2 s-1), a concentração interna de CO2 (μmol mol-1), a quantidade de CO2 consumido (μmol mol-1), taxa de transpiração (E - mol H2O m-2 s-1), condutância estomática de vapores de água (mol m-1 s-1), ), eficiência de carboxilação (EC- mol CO2 m-2 s-1), uso eficiente da água (EUA - mol CO2 mol H2O-1) e a temperatura da folha ΔT (ºC). Por ocasião da colheita serão determinados os componentes do rendimento de grãos da cultura: número de vagens por planta, número de grãos por vagens, massa de mil grãos (g) e a produtividade de grãos (kg ha-1). Para testar a modelagem matemática a fim de estimar a habilidade competitiva das espécies e para o cálculo do nível de dano econômico o ajuste dos dados ao modelo será realizado com o procedimento Proc Nlin do programa computacional SAS, utilizando-se as variáveis; PP, MS, AF e CS. Para os cálculos, será utilizado o método de Gauss-Newton, o qual, por sucessivas interações, estima os valores dos parâmetros nos quais a soma dos quadrados dos desvios das observações, em relação aos valores ajustados, seja mínima. Os dados referentes as variáveis fisiológicas e dos componentes de rendimento de grãos do feijão serão submetidos a análise de variância pelo teste F, em sendo significativos será aplicado regressão lineares ou não lineares.",Subprojeto,Manejo Sustentável dos Sistemas Agrícolas - MASSA,PES-2019-0043,2019-10-11
0f606079-bd8b-4f8c-99c8-66cc4ca2fa4f,PES-2019-0321,Caracterização Farmacológica e Neuroprotetora de Constituintes Fitoquímicos Avaliados In vitro e em Protocolos Animais de Transtorno Depressivo Maior,ZULEIDE MARIA IGNACIO,Chapecó,CIÊNCIAS DA SAÚDE,Isolamento social; Neuroproteção; Plantas medicinais; Privação maternal; Transtorno depressivo maior,"Um número expressivo de estudos vem mostrando que o estresse crônico na infância é um dos maiores vilões na indução de disfunções biológicas neurais e sistêmicas, as quais podem persistir e potencializar os efeitos do estresse crônico e agudo na vida adulta, culminando em transtorno depressivo maior (TDM), entre outros transtornos psiquiátricos. As pesquisas científicas trazem evidências de que o estresse na infância é responsável por prejuízos no desenvolvimento cerebral e é potencializado por estresse ou falta de apoio social na vida adulta, podendo culminar em depressão severa e falta de resposta terapêutica aos tratamentos antidepressivos. Os fármacos disponíveis na clínica, além de necessitarem de um longo tempo para o início do efeito antidepressivo, não conseguem exercer efeito terapêutico em um percentual significativo de pacientes. Por essas razões, a busca por agentes mais efetivos para o TDM vem incluindo as plantas medicinais como estratégias terapêuticas que possam interferir em mecanismos biológicos relevantes na depressão resistente a tratamentos (DRT). Portanto, o principal objetivo desta proposta é avaliar o tratamento com extratos e compostos ativos de espécies de plantas medicinais em comportamentos tipo depressivos de ratos submetidos a estresse crônico na infância e na vida adulta e em mecanismos envolvidos na neuroproteção, nos animais e in vitro, em células de neuroblastoma. Inicialmente o estudo irá investigar separadamente o efeito da privação materna nos primeiros dias de vida e o efeito do isolamento social sobre os comportamentos e mecanismos biológicos envolvidos com alterações na plasticidade neuronal, bem como o efeito dos tratamentos nas alterações comportamentais e biológicas. Posteriormente, será investigado um possível sinergismo entre o estresse de privação maternal e o isolamento social assim como o efeito dos tratamentos sobre alterações comportamentais e biológicas que emergirem a partir do estresse ao longo da vida dos animais. As plantas medicinais utilizadas nesta proposta serão das espécies Campomanesia guazumifolia, Cecropia pachystachya, Physalis peruviana e Solidago chilensis. São espécies que apresentam propriedades antioxidantes e antiinflamatórias, entre outras relevantes propriedades nutracêuticas. Algumas espécies já foram caracterizadas como agentes antidepressivos na população e em estudos científicos, principalmente em modelos animais. Também já existem evidências científicas sobre a interferência de compostos dessas espécies medicinais em alguns mecanismos neurobiológicos subjacentes à plasticidade neuronal e à neuroproteção. Considerando alguns resultados da literatura científica, espera-se que o sinergismo entre o estresse na infância e na vida adulta possa potencializar o comportamento depressivo e os prejuízos biológicos relacionados à neuroproteção. Com relação às propriedades já descritas para as espécies de plantas medicinais, é esperado que os extratos e alguns componentes ativos das ",Guarda-chuva: Projeto em Acordo de Cooperação,Estudos Biológicos e Clínicos em Patologias Humanas,,2019-10-11
